latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-09T05:00,20.7,88,18.6,0.00,0.00
2024-01-09T06:00,20.8,88,18.8,0.00,0.00
2024-01-09T07:00,20.7,88,18.6,0.00,0.00
2024-01-09T08:00,21.6,84,18.7,0.00,0.00
2024-01-09T09:00,21.8,80,18.1,0.00,0.00
2024-01-09T10:00,21.7,77,17.4,0.00,0.00
2024-01-09T11:00,23.9,67,17.4,0.00,0.00
2024-01-09T12:00,25.4,56,15.9,0.00,0.00
2024-01-09T13:00,26.8,49,15.1,0.00,0.00
2024-01-09T14:00,28.7,43,14.8,0.10,0.10
2024-01-09T15:00,28.8,38,13.2,0.10,0.10
2024-01-09T16:00,28.2,41,13.8,0.00,0.00
2024-01-09T17:00,26.8,45,13.8,0.00,0.00
2024-01-09T18:00,24.6,65,17.5,0.00,0.00
2024-01-09T19:00,22.6,77,18.4,0.00,0.00
2024-01-09T20:00,21.6,84,18.8,0.00,0.00
2024-01-09T21:00,20.8,90,19.1,0.00,0.00
2024-01-09T22:00,20.4,94,19.4,0.00,0.00
2024-01-09T23:00,20.3,93,19.1,0.00,0.00
2024-01-10T00:00,20.3,94,19.3,0.00,0.00
2024-01-10T01:00,19.9,96,19.3,0.00,0.00
2024-01-10T02:00,19.8,95,19.0,0.00,0.00
2024-01-10T03:00,18.6,99,18.4,0.00,0.00
2024-01-10T04:00,18.3,97,17.7,0.00,0.00
2024-01-10T05:00,18.9,95,18.1,0.00,0.00
2024-01-10T06:00,18.4,97,17.9,0.00,0.00
2024-01-10T07:00,19.0,92,17.8,0.00,0.00
2024-01-10T08:00,18.8,92,17.5,2.20,2.20
2024-01-10T09:00,19.6,92,18.4,0.10,0.10
2024-01-10T10:00,22.0,82,18.7,0.10,0.10
2024-01-10T11:00,22.0,80,18.3,0.00,0.00
2024-01-10T12:00,22.5,77,18.4,0.00,0.00
2024-01-10T13:00,25.5,63,18.0,0.00,0.00
2024-01-10T14:00,26.7,59,18.0,0.20,0.20
2024-01-10T15:00,26.5,57,17.3,0.00,0.00
2024-01-10T16:00,24.2,74,19.2,0.20,0.20
2024-01-10T17:00,23.7,76,19.2,0.10,0.10
2024-01-10T18:00,23.1,77,18.8,0.00,0.00
2024-01-10T19:00,21.5,88,19.4,0.00,0.00
2024-01-10T20:00,20.7,93,19.6,0.00,0.00
2024-01-10T21:00,20.3,94,19.3,0.00,0.00
2024-01-10T22:00,19.9,95,19.1,0.00,0.00
2024-01-10T23:00,20.2,92,18.9,0.00,0.00
2024-01-11T00:00,20.4,90,18.8,0.00,0.00
2024-01-11T01:00,20.5,90,18.8,0.00,0.00
2024-01-11T02:00,20.4,91,18.9,0.00,0.00
2024-01-11T03:00,19.9,94,18.8,0.00,0.00
2024-01-11T04:00,19.4,98,19.0,0.00,0.00
2024-01-11T05:00,19.0,98,18.6,0.00,0.00
2024-01-11T06:00,18.9,98,18.5,0.00,0.00
2024-01-11T07:00,18.4,97,18.0,0.00,0.00
2024-01-11T08:00,19.7,91,18.2,0.00,0.00
2024-01-11T09:00,21.6,84,18.8,0.00,0.00
2024-01-11T10:00,24.3,73,19.1,0.00,0.00
2024-01-11T11:00,26.0,66,19.1,0.10,0.10
2024-01-11T12:00,27.0,59,18.4,0.00,0.00
2024-01-11T13:00,28.1,53,17.8,0.00,0.00
2024-01-11T14:00,29.2,45,16.2,0.00,0.00
2024-01-11T15:00,24.7,68,18.4,0.90,0.90
2024-01-11T16:00,27.1,50,15.7,0.10,0.10
2024-01-11T17:00,23.4,76,18.9,0.10,0.10
2024-01-11T18:00,24.3,70,18.6,0.00,0.00
2024-01-11T19:00,23.4,75,18.8,0.00,0.00
2024-01-11T20:00,22.8,79,19.0,0.00,0.00
